id,name,description,artist,genre,year,designation,image,starting_value,status,user_id,current_value,bid_number,date_posted
2,Best of The Dummies,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua",Dummies,Rock,1984,12-inch,../static/images/record2.jpg,84,OPEN,2,89,1,2020-10-11 11:33:22. 123
3,Best of The Dummies,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua",The Dummies,Blues,1989,12-inch,../static/images/record3.jpg,68,OPEN,2,98,2,2020-10-11 17:33:22. 123
4,Best of The Dummies,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua",The Dummies,Hip Hop,1999,12-inch,../static/images/record2.jpg,35,OPEN,2,35,0,2020-09-11 11:33:22. 123
5,Best of The Dummies,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua",The Dummies,EDM,2005,10-inch,../static/images/record5.jpg,65,OPEN,,65,0,2020-10-11 09:33:22. 123
6,Best of The Dummies,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua",The Dummies,Rock,1973,10-inch,../static/images/record6.jpg,23,OPEN,,23,0,2020-10-01 11:33:22. 123
7,Best of The Dummies,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua",The Dummies,Country,1974,12-inch,../static/images/record7.jpg,77,OPEN,,77,0,2020-10-06 11:33:22. 123
8,Best of The Dummies,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua",The Dummies,Jazz,1993,7-inch,../static/images/record8.jpg,56,OPEN,,56,0,2020-10-09 11:32:22. 123
9,Best of The Dummies,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua",The Dummies,Hip Hop,1998,7-inch,../static/images/record9.jpg,86,OPEN,,86,0,2020-10-04  19:33:22. 123
10,Best of The Dummies,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua",The Dummies,Techno,2000,12-inch,../static/images/record2.jpg,34,OPEN,,34,0,2020-02-11 11:39:22. 123
11,Best of The Dummies,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua",The Dummies,Rock,2002,7-inch,../static/images/record9.jpg,65,OPEN,,65,0,2020-08-11 11:33:22. 123
13,Best of The Dummies,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua",The Dummies,Rock,2009,12-inch,../static/images/record1.jpg,64,OPEN,,64,0,2020-09-11 11:23:22. 123
14,Best of The Dummies,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua",The Dummies,Blues,1977,7-inch,../static/images/record4.jpg,75,OPEN,,75,0,2020-09-11 14:33:22. 123
15,Best of The Dummies,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua",The Dummies,Hip Hop,1992,12-inch,../static/images/record9.jpg,34,OPEN,,34,0,2020-10-12 11:53:22. 123
16,Best of The Dummies,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua",The Dummies,EDM,2007,10-inch,../static/images/record2.jpg,99,OPEN,,99,0,2020-10-11 01:33:22. 123
17,Best of The Dummies,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua",The Dummies,Rock,1989,12-inch,../static/images/record6.jpg,78,OPEN,,78,0,2020-10-10 11:13:22. 123
18,Best of The Dummies,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua",The Dummies,Country,1984,12-inch,../static/images/record2.jpg,79,OPEN,,79,0,2020-09-23 11:33:22. 123
19,Best of The Dummies,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua",The Dummies,Jazz,1982,12-inch,../static/images/record1.jpg,45,OPEN,,45,0,2020-09-26 11:33:22. 123
20,Best of The Dummies,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua",The Dummies,Hip Hop,1997,7-inch,../static/images/record8.jpg,34,OPEN,,34,0,2020-09-29 11:31:22. 123
21,Best of The Dummies,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua",The Dummies,Techno,2008,12-inch,../static/images/record9.jpg,94,OPEN,,94,0,2020-09-22 14:33:22. 123
22,Best of The Dummies,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua",The Dummies,Rock,1974,12-inch,../static/images/record7.jpg,25,OPEN,,25,0,2020-09-30 11:33:22. 123
23,Best of The Dummies,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua",The Dummies,Pop,1994,12-inch,../static/images/record4.jpg,34,OPEN,,34,0,2020-08-12 11:13:22. 123
24,test,test desc,test artist,Hip Hop,1999,8-inch,/static/images/record5.jpg,22,OPEN,3,45,4,2020-10-27
25,test,test desc,test artist,EDM,1988,7-inch,/static/images/record3.jpg,24,OPEN,3,81,12,2020-10-27 18:10:56.419048
26,bidtester,bidtester,bidtester,Jazz,2000,12-inch,/static/images/methode_times_prod_web_bin_cfa57f30-919b-11e8-a10e-53179592953e.jpg,20,OPEN,2,95,7,2020-10-28 15:10:47.360519
